Epoch:225 | Cross Entropy Error: 0.1924575782875403 | Accuacy: 96.66666666666667%
Epoch:226 | Cross Entropy Error: 0.19167352572405277 | Accuacy: 96.66666666666667%
Epoch:227 | Cross Entropy Error: 0.1908951643047128 | Accuacy: 96.66666666666667%
Epoch:228 | Cross Entropy Error: 0.19012386174062706 | Accuacy: 96.66666666666667%
Epoch:229 | Cross Entropy Error: 0.1893567357036272 | Accuacy: 96.66666666666667%
Epoch:230 | Cross Entropy Error: 0.18859868330958438 | Accuacy: 96.66666666666667%
Epoch:231 | Cross Entropy Error: 0.18785143352176248 | Accuacy: 96.66666666666667%
Epoch:232 | Cross Entropy Error: 0.18710167484775564 | Accuacy: 95.83333333333334%
Epoch:233 | Cross Entropy Error: 0.18637128079375193 | Accuacy: 96.66666666666667%
Epoch:234 | Cross Entropy Error: 0.18563799706020456 | Accuacy: 96.66666666666667%
Epoch:235 | Cross Entropy Error: 0.18491032065056737 | Accuacy: 96.66666666666667%
Epoch:236 | Cross Entropy Error: 0.18418765298784456 | Accuacy: 96.66666666666667%
Epoch:237 | Cross Entropy Error: 0.18347502754067044 | Accuacy: 96.66666666666667%
Epoch:238 | Cross Entropy Error: 0.1827628708036619 | Accuacy: 96.66666666666667%
Epoch:239 | Cross Entropy Error: 0.18206085417020668 | Accuacy: 96.66666666666667%
Epoch:240 | Cross Entropy Error: 0.18136366977593005 | Accuacy: 96.66666666666667%
Epoch:241 | Cross Entropy Error: 0.1806658901004808 | Accuacy: 96.66666666666667%
Epoch:242 | Cross Entropy Error: 0.17998288390799472 | Accuacy: 96.66666666666667%
Epoch:243 | Cross Entropy Error: 0.17930347464272026 | Accuacy: 96.66666666666667%
Epoch:244 | Cross Entropy Error: 0.17862476044503256 | Accuacy: 96.66666666666667%
Epoch:245 | Cross Entropy Error: 0.17795353568375782 | Accuacy: 96.66666666666667%
Epoch:246 | Cross Entropy Error: 0.1772882337955529 | Accuacy: 96.66666666666667%
Epoch:247 | Cross Entropy Error: 0.17663107200954575 | Accuacy: 96.66666666666667%
Epoch:248 | Cross Entropy Error: 0.1759747962896537 | Accuacy: 96.66666666666667%
Epoch:249 | Cross Entropy Error: 0.17532447597385178 | Accuacy: 96.66666666666667%
Epoch:250 | Cross Entropy Error: 0.1746799991563904 | Accuacy: 96.66666666666667%
Epoch:251 | Cross Entropy Error: 0.17404331150931304 | Accuacy: 96.66666666666667%
Epoch:252 | Cross Entropy Error: 0.17340720406049193 | Accuacy: 96.66666666666667%
Epoch:253 | Cross Entropy Error: 0.17277540073638087 | Accuacy: 96.66666666666667%
Epoch:254 | Cross Entropy Error: 0.1721550251911559 | Accuacy: 96.66666666666667%
Epoch:255 | Cross Entropy Error: 0.17153496010510155 | Accuacy: 96.66666666666667%
Epoch:256 | Cross Entropy Error: 0.17092218415190533 | Accuacy: 96.66666666666667%
Epoch:257 | Cross Entropy Error: 0.17031015852120185 | Accuacy: 96.66666666666667%
Epoch:258 | Cross Entropy Error: 0.16970474746943087 | Accuacy: 96.66666666666667%
Epoch:259 | Cross Entropy Error: 0.1691034590447918 | Accuacy: 96.66666666666667%
Epoch:260 | Cross Entropy Error: 0.1685121780306055 | Accuacy: 96.66666666666667%
Epoch:261 | Cross Entropy Error: 0.16792074883601718 | Accuacy: 96.66666666666667%
Epoch:262 | Cross Entropy Error: 0.16733383453715292 | Accuacy: 96.66666666666667%
Epoch:263 | Cross Entropy Error: 0.16675171038018224 | Accuacy: 96.66666666666667%
Epoch:264 | Cross Entropy Error: 0.16617440713486661 | Accuacy: 96.66666666666667%
Epoch:265 | Cross Entropy Error: 0.1656018058567254 | Accuacy: 96.66666666666667%
Epoch:266 | Cross Entropy Error: 0.16503383180935327 | Accuacy: 96.66666666666667%
Epoch:267 | Cross Entropy Error: 0.1644721313016994 | Accuacy: 96.66666666666667%
Epoch:268 | Cross Entropy Error: 0.16391119169758617 | Accuacy: 96.66666666666667%
Epoch:269 | Cross Entropy Error: 0.16335536427957334 | Accuacy: 96.66666666666667%
Epoch:270 | Cross Entropy Error: 0.16280638449068738 | Accuacy: 96.66666666666667%
Epoch:271 | Cross Entropy Error: 0.16225853784399108 | Accuacy: 96.66666666666667%
Epoch:272 | Cross Entropy Error: 0.16171574115761678 | Accuacy: 96.66666666666667%
Epoch:273 | Cross Entropy Error: 0.16117768794415402 | Accuacy: 96.66666666666667%
Epoch:274 | Cross Entropy Error: 0.16064396733133526 | Accuacy: 96.66666666666667%
Epoch:275 | Cross Entropy Error: 0.16011428514626222 | Accuacy: 96.66666666666667%
Epoch:276 | Cross Entropy Error: 0.1595885052293587 | Accuacy: 96.66666666666667%
Epoch:277 | Cross Entropy Error: 0.15906660190360206 | Accuacy: 96.66666666666667%
Epoch:278 | Cross Entropy Error: 0.158548594776827 | Accuacy: 96.66666666666667%
Epoch:279 | Cross Entropy Error: 0.15803450019958748 | Accuacy: 96.66666666666667%
Epoch:280 | Cross Entropy Error: 0.15752435509906806 | Accuacy: 96.66666666666667%
Epoch:281 | Cross Entropy Error: 0.15701978167154676 | Accuacy: 96.66666666666667%
Epoch:282 | Cross Entropy Error: 0.15651778258498522 | Accuacy: 96.66666666666667%
Epoch:283 | Cross Entropy Error: 0.15601889611167163 | Accuacy: 96.66666666666667%
Epoch:284 | Cross Entropy Error: 0.1555236235803201 | Accuacy: 96.66666666666667%
Epoch:285 | Cross Entropy Error: 0.15503223119312567 | Accuacy: 96.66666666666667%
Epoch:286 | Cross Entropy Error: 0.15454473304568028 | Accuacy: 96.66666666666667%
Epoch:287 | Cross Entropy Error: 0.15406100068263828 | Accuacy: 96.66666666666667%
